row_id,source_package_id,source_sha256,source_table,curve_lane,au_code,sph,species_composition_raw,species_components_json,species_percent_total,spp1_si,spp2_si,spp3_si,spp4_si,spp5_si,genetic_gain_spp1,genetic_gain_spp2,genetic_gain_spp3,genetic_gain_spp4,genetic_gain_spp5,productive_area_ha,thlb_area_ha,pdf_page_start,pdf_page_end,appendix_page_start,appendix_page_end,source_anchor,continuation_row_count,parse_confidence,review_status,model_input_status,parser_warnings,raw_start_cells_json,raw_continuation_cells_json
p10r_table_54_001,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E100,900,hw55 ba17 ss10 dr10 cw8,"[{""species"": ""hw"", ""percent"": 55}, {""species"": ""ba"", ""percent"": 17}, {""species"": ""ss"", ""percent"": 10}, {""species"": ""dr"", ""percent"": 10}, {""species"": ""cw"", ""percent"": 8}]",100,26.1,,,,,,,,,,8,5,358,358,112 of 183,112 of 183,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54,2,high,parsed_candidate,not_model_input,,"[""E100"", ""900"", ""hw55"", ""26.1"", ""8"", ""5""]","[[""ba17 ss10""], [""dr10 cw8""]]"
p10r_table_54_002,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E101,900,cw46 hw33 yc14 ba6 dr1,"[{""species"": ""cw"", ""percent"": 46}, {""species"": ""hw"", ""percent"": 33}, {""species"": ""yc"", ""percent"": 14}, {""species"": ""ba"", ""percent"": 6}, {""species"": ""dr"", ""percent"": 1}]",100,16.0,16.0,16.0,12.0,,,,,,,109,85,358,358,112 of 183,112 of 183,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54,3,high,parsed_candidate,not_model_input,,"[""E101"", ""900"", ""cw46"", ""16.0"", ""16.0"", ""16.0"", ""12.0"", ""109"", ""85""]","[[""hw33""], [""yc14 ba6""], [""dr1""]]"
p10r_table_54_003,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E101F,900,cw67 hw20 yc12 ba1,"[{""species"": ""cw"", ""percent"": 67}, {""species"": ""hw"", ""percent"": 20}, {""species"": ""yc"", ""percent"": 12}, {""species"": ""ba"", ""percent"": 1}]",100,16.0,16.0,16.0,12.0,,,,,,,132,119,358,358,112 of 183,112 of 183,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54,2,high,parsed_candidate,not_model_input,,"[""E101F"", ""900"", ""cw67"", ""16.0"", ""16.0"", ""16.0"", ""12.0"", ""132"", ""119""]","[[""hw20""], [""yc12 ba1""]]"
p10r_table_54_004,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E103,900,hw50 cw26 ss13 ba8 dr3,"[{""species"": ""hw"", ""percent"": 50}, {""species"": ""cw"", ""percent"": 26}, {""species"": ""ss"", ""percent"": 13}, {""species"": ""ba"", ""percent"": 8}, {""species"": ""dr"", ""percent"": 3}]",100,12.0,12.0,10.0,9.9,,,,,,,41,35,358,358,112 of 183,112 of 183,PDF pages 358-358; Appendix B pages 112 of 183-112 of 183; Table 54,3,high,parsed_candidate,not_model_input,,"[""E103"", ""900"", ""hw50"", ""12.0"", ""12.0"", ""10.0"", ""9.9"", ""41"", ""35""]","[[""cw26""], [""ss13 ba8""], [""dr3""]]"
p10r_table_54_005,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E104,900,hw63 cw17 ss9 ba8 dr3 fd2,"[{""species"": ""hw"", ""percent"": 63}, {""species"": ""cw"", ""percent"": 17}, {""species"": ""ss"", ""percent"": 9}, {""species"": ""ba"", ""percent"": 8}, {""species"": ""dr"", ""percent"": 3}, {""species"": ""fd"", ""percent"": 2}]",102,24.0,20.0,24.0,24.0,,,,,,,1343,1067,358,359,112 of 183,113 of 183,PDF pages 358-359; Appendix B pages 112 of 183-113 of 183; Table 54,3,high,parsed_candidate,not_model_input,,"[""E104"", ""900"", ""hw63"", ""24.0"", ""20.0"", ""24.0"", ""24.0"", ""1,343"", ""1,067""]","[[""cw17 ss9""], [""ba8 dr3""], [""fd2""]]"
p10r_table_54_006,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E104F,900,hw54 cw35 ba6 ss3 yc2 dr2,"[{""species"": ""hw"", ""percent"": 54}, {""species"": ""cw"", ""percent"": 35}, {""species"": ""ba"", ""percent"": 6}, {""species"": ""ss"", ""percent"": 3}, {""species"": ""yc"", ""percent"": 2}, {""species"": ""dr"", ""percent"": 2}]",102,24.0,20.0,24.0,24.0,20.0,,,,,,578,503,359,359,113 of 183,113 of 183,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54,3,high,parsed_candidate,not_model_input,,"[""E104F"", ""900"", ""hw54"", ""24.0"", ""20.0"", ""24.0"", ""24.0"", ""20.0"", ""578"", ""503""]","[[""cw35 ba6""], [""ss3 yc2""], [""dr2""]]"
p10r_table_54_007,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E104S,1600,hw79 ss7 cw7 ba5 dr2,"[{""species"": ""hw"", ""percent"": 79}, {""species"": ""ss"", ""percent"": 7}, {""species"": ""cw"", ""percent"": 7}, {""species"": ""ba"", ""percent"": 5}, {""species"": ""dr"", ""percent"": 2}]",100,24.0,24.0,20.0,24.0,,,,,,,139,118,359,359,113 of 183,113 of 183,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54,2,high,parsed_candidate,not_model_input,,"[""E104S"", ""1,600"", ""hw79 ss7"", ""24.0"", ""24.0"", ""20.0"", ""24.0"", ""139"", ""118""]","[[""cw7 ba5""], [""dr2""]]"
p10r_table_54_008,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E104sc,900,cw69 hw19 fd4 ss4 dr4 yc3,"[{""species"": ""cw"", ""percent"": 69}, {""species"": ""hw"", ""percent"": 19}, {""species"": ""fd"", ""percent"": 4}, {""species"": ""ss"", ""percent"": 4}, {""species"": ""dr"", ""percent"": 4}, {""species"": ""yc"", ""percent"": 3}]",103,20.0,24.0,27.1,24.0,,,,,,,246,176,359,359,113 of 183,113 of 183,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54,3,review_required,parser_review_required,not_model_input,species_percent_total_not_near_100,"[""E104sc"", ""900"", ""cw69"", ""20.0"", ""24.0"", ""27.1"", ""24.0"", ""246"", ""176""]","[[""hw19 fd4""], [""ss4 dr4""], [""yc3""]]"
p10r_table_54_009,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E104scF,900,cw79 hw17 yc2 dr1 ss1,"[{""species"": ""cw"", ""percent"": 79}, {""species"": ""hw"", ""percent"": 17}, {""species"": ""yc"", ""percent"": 2}, {""species"": ""dr"", ""percent"": 1}, {""species"": ""ss"", ""percent"": 1}]",100,20.0,24.0,20.0,24.0,,,,,,,676,597,359,359,113 of 183,113 of 183,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54,2,high,parsed_candidate,not_model_input,,"[""E104scF"", ""900"", ""cw79"", ""20.0"", ""24.0"", ""20.0"", ""24.0"", ""676"", ""597""]","[[""hw17 yc2""], [""dr1 ss1""]]"
p10r_table_54_010,tfl6_mp11_202606_public_pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Table 54,early_managed,E104sh,900,hw72 cw14 ss6 dr5 ba3 fd3,"[{""species"": ""hw"", ""percent"": 72}, {""species"": ""cw"", ""percent"": 14}, {""species"": ""ss"", ""percent"": 6}, {""species"": ""dr"", ""percent"": 5}, {""species"": ""ba"", ""percent"": 3}, {""species"": ""fd"", ""percent"": 3}]",103,24.0,20.0,24.0,24.0,,,,,,,179,142,359,359,113 of 183,113 of 183,PDF pages 359-359; Appendix B pages 113 of 183-113 of 183; Table 54,3,review_required,parser_review_required,not_model_input,species_percent_total_not_near_100,"[""E104sh"", ""900"", ""hw72"", ""24.0"", ""20.0"", ""24.0"", ""24.0"", ""179"", ""142""]","[[""cw14 ss6""], [""dr5 ba3""], [""fd3""]]"
