figure_id,caption,pdf_page,source_sha256,source_url,image_path,rows_csv_path,overlay_path,series_count,point_count,min_series_point_count,max_endpoint_abs_percent_error,review_status,downstream_use,notes
Figure 21,Harvest Levels Maintaining Current AAC,103,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-21-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-21-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-21-overlay.png,2,359,161,0.29011979086090167,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 22,Harvest Levels Maximizing Short-Term Harvest,104,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-22-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-22-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-22-overlay.png,2,394,196,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 23,Harvest Levels with Increased Natural Stand Yields,107,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-23-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-23-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-23-overlay.png,2,396,198,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 24,Harvest Levels with Decreased Natural Stand Yields,109,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-24-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-24-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-24-overlay.png,2,396,198,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 25,Harvest Levels with Increased Managed Stand Yields,110,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-25-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-25-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-25-overlay.png,2,396,198,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 26,Harvest Levels with Decreased Managed Stand Yields,112,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-26-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-26-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-26-overlay.png,2,396,198,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 32,Comparison of Harvest Scenarios: Base Case vs. Two Flows on ITI-Adjusted Volume with Reduced OAF1 Scenario,123,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-32-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-32-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-32-overlay.png,3,592,196,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 33,Harvest Levels with No Genetic Gain,124,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-33-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-33-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-33-overlay.png,2,380,190,0.24418455211412526,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 34,Harvest Levels with Full NSOG Order Targets,126,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-34-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-34-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-34-overlay.png,2,396,198,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
Figure 37,Harvest Levels with Helicopter Operable Land Base Excluded,132,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-37-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-37-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-37-overlay.png,2,396,198,0.14456083615718512,raw_extraction,needs_p7_5_review,Raw deterministic extraction for remaining harvest scenario charts. Endpoint checks use visible table or narrative values where available; stepped and multi-flow figures require review before promotion.
