figure_id,series_name,label,point_count,x_min,x_max,y_min,y_max,y_mean
Figure 3,thlb_gs_total,THLB GS total,160,0.0,299.62311557788945,35088105.72687225,41629955.947136566,40184677.863436125
Figure 3,thlb_gs_le_120_years,THLB GS <= 120 years,158,1.8844221105527639,297.7386934673367,25572687.2246696,36475770.92511013,33107608.87748843
Figure 3,thlb_gs_gt_120_years,THLB GS > 120 years,160,0.0,299.62311557788945,892070.4845814997,10110132.158590307,7135324.889867842
Figure 40,thlb_gs_total,THLB GS total,159,0.0,297.7386934673367,37823275.862068966,40829741.37931035,39794648.66623292
Figure 40,thlb_gs_le_120_years,THLB GS <= 120 years,158,1.8844221105527639,297.7386934673367,28512931.03448276,38308189.65517241,35069088.280226976
Figure 40,thlb_gs_gt_120_years,THLB GS > 120 years,159,0.0,297.7386934673367,1842672.4137931028,10377155.172413794,4711288.223812622
