figure_id,caption,pdf_page,source_sha256,source_url,image_path,result_json_path,points_csv_path,overlay_path,metrics_json_path,panel_count,series_count,point_count,min_total_minus_thlb_m3,review_status,downstream_use,notes
Figure 14,Base Case Cedar Inventory in Productive Forests,97,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-14-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-14-result.json,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-14-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-14-overlay.png,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-14-metrics.json,2,6,408,937499.9999999998,raw_extraction,not_yet_accepted,Stacked-area boundary extraction; requires overlay review because no adjacent table cross-check is available.
Figure 15,Base Case Old Cedar Inventory in Productive Forests,98,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-15-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-15-result.json,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-15-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-15-overlay.png,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-15-metrics.json,1,3,474,2756637.1681415937,raw_extraction,not_yet_accepted,Stacked-area boundary extraction; requires overlay review because no adjacent table cross-check is available.
Figure 51,AAC Recommendation Cedar Inventory in Productive Forest,172,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-51-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-51-result.json,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-51-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-51-overlay.png,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-51-metrics.json,2,6,408,1249999.9999999995,raw_extraction,not_yet_accepted,Stacked-area boundary extraction; requires overlay review because no adjacent table cross-check is available.
Figure 52,AAC Recommendation Old Cedar Inventory in Productive Forest,173,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-52-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-52-result.json,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/cedar_inventory_batch/figure-52-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-52-overlay.png,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/cedar_inventory_batch/figure-52-metrics.json,1,3,474,3871681.4159292025,raw_extraction,not_yet_accepted,Stacked-area boundary extraction; requires overlay review because no adjacent table cross-check is available.
