scenario_id,threshold_pct,min_steep_proportion,accounting,fragment_count,valid_fragment_count,deduction_ha,delta_to_mp11_ha,abs_delta_to_mp11_ha,delta_to_mp11_pct,remaining_after_step220_ha,step290_direct_proxy_area_ha,step290_direct_proxy_delta_to_mp11_ha
slope_ge_70_prop_ge_0.75_whole_fragment,70,0.75,whole_fragment,931,39239,1801.7045786667948,-18.29542133320524,18.29542133320524,-1.0052429303958923,127408.39804428256,122767.06044214054,2668.060442140544
slope_ge_60_prop_ge_0.9_whole_fragment,60,0.9,whole_fragment,1340,39239,1909.4843993193974,89.48439931939743,89.48439931939743,4.916725237329529,127300.61822362995,122659.28062148794,2560.2806214879383
slope_ge_80_prop_ge_0.5_whole_fragment,80,0.5,whole_fragment,811,39239,1915.00015064266,95.00015064265995,95.00015064265995,5.219788496849448,127295.10247230668,122653.76487016467,2554.7648701646685
slope_ge_90_prop_ge_0.25_partial_area_diagnostic,90,0.25,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.5_partial_area_diagnostic,90,0.5,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.75_partial_area_diagnostic,90,0.75,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.9_partial_area_diagnostic,90,0.9,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_1_partial_area_diagnostic,90,1.0,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.25_whole_fragment,90,0.25,whole_fragment,801,39239,2608.8868807454423,788.8868807454423,788.8868807454423,43.34543300799133,126601.2157422039,121959.87814006189,1860.87814006189
slope_ge_90_prop_ge_0.5_whole_fragment,90,0.5,whole_fragment,342,39239,631.3790622882054,-1188.6209377117946,1188.6209377117946,-65.30884273141729,128578.72356066114,123937.38595851912,3838.385958519124
slope_ge_70_prop_ge_0.9_whole_fragment,70,0.9,whole_fragment,604,39239,486.1854855721091,-1333.814514427891,1333.814514427891,-73.28651178175225,128723.91713737724,124082.57953523523,3983.579535235229
slope_ge_80_prop_ge_0.75_whole_fragment,80,0.75,whole_fragment,375,39239,410.3203012034263,-1409.6796987965736,1409.6796987965736,-77.45492850530624,128799.78232174592,124158.44471960391,4059.444719603911
slope_ge_60_prop_ge_1_whole_fragment,60,1.0,whole_fragment,960,39239,335.25107374062384,-1484.7489262593763,1484.7489262593763,-81.57961133293277,128874.85154920872,124233.5139470667,4134.513947066705
