stratum_code,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,area_rank,area_share,cumulative_area_ha,cumulative_area_share,cumulative_before_share,selected_top_90
CWHVM_HW_BA,CWHvm,HW_BA,3783,34839.094309,22.813375,24.0,7.0,43.0,1,0.25675,34839.094309,0.25675,0.0,True
CWHVM_HW_CW,CWHvm,HW_CW,3450,27333.496365,22.633915,24.0,3.0,42.0,2,0.201437,62172.590674,0.458187,0.25675,True
CWHVM_CW_HW,CWHvm,CW_HW,2372,17477.916776,17.950674,18.0,2.0,41.0,3,0.128805,79650.50745,0.586992,0.458187,True
CWHVM_HW,CWHvm,HW,1185,8014.210517,23.109703,25.0,1.0,42.0,4,0.059062,87664.717967,0.646054,0.586992,True
CWHVM_HW_SS,CWHvm,HW_SS,777,7339.92009,27.256113,28.0,7.0,42.0,5,0.054092,95004.638057,0.700146,0.646054,True
CWHVM_HW_DR,CWHvm,HW_DR,452,3264.034999,25.911505,27.0,5.0,37.0,6,0.024055,98268.673056,0.724201,0.700146,True
CWHVH_CW_HW,CWHvh,CW_HW,435,3106.096828,15.905747,16.0,6.0,31.0,7,0.022891,101374.769885,0.747091,0.724201,True
CWHVM_CW,CWHvm,CW,475,2757.5909,13.88,13.0,2.0,42.0,8,0.020322,104132.360784,0.767414,0.747091,True
CWHVM_CW_YC,CWHvm,CW_YC,236,2555.39344,13.381356,12.0,3.0,30.0,9,0.018832,106687.754225,0.786246,0.767414,True
CWHVM_HW_FDC,CWHvm,HW_FDC,167,2232.675347,28.293413,28.0,19.0,39.0,10,0.016454,108920.429572,0.8027,0.786246,True
CWHVM_BA_HW,CWHvm,BA_HW,268,2135.130642,23.063433,25.0,8.0,36.0,11,0.015735,111055.560214,0.818435,0.8027,True
CWHVM_HW_FD,CWHvm,HW_FD,194,2055.456189,26.097939,27.0,8.0,45.0,12,0.015148,113111.016402,0.833583,0.818435,True
CWHVH_HW_CW,CWHvh,HW_CW,291,1947.710459,19.31615,17.0,5.0,40.0,13,0.014354,115058.726862,0.847936,0.833583,True
CWHVM_YC_HW,CWHvm,YC_HW,193,1741.40489,12.875648,12.0,5.0,28.0,14,0.012833,116800.131752,0.86077,0.847936,True
CWHVM_SS_HW,CWHvm,SS_HW,159,1649.47343,31.64151,32.0,14.0,51.0,15,0.012156,118449.605181,0.872926,0.86077,True
CWHVM_DR_HW,CWHvm,DR_HW,334,1476.103613,24.443113,23.0,9.0,47.0,16,0.010878,119925.708794,0.883804,0.872926,True
