figure_id,series_name,label,year,harvest_m3_per_year,x_pixel,y_pixel
Figure 21,base_case,MP11 Base Case,2.9813664596273295,1063134.6578366447,193.0,540.0
Figure 21,base_case,MP11 Base Case,4.472049689440993,1063134.6578366447,197.0,540.0
Figure 21,base_case,MP11 Base Case,5.962732919254659,1063134.6578366447,201.0,540.0
Figure 21,base_case,MP11 Base Case,7.453416149068323,1063134.6578366447,205.0,540.0
Figure 21,base_case,MP11 Base Case,8.944099378881987,1063134.6578366447,209.0,540.0
Figure 21,base_case,MP11 Base Case,10.434782608695652,1063134.6578366447,213.0,540.0
Figure 21,base_case,MP11 Base Case,11.925465838509318,1063134.6578366447,217.0,540.0
Figure 21,base_case,MP11 Base Case,13.416149068322982,1063134.6578366447,221.0,540.0
Figure 21,base_case,MP11 Base Case,16.39751552795031,1063134.6578366447,229.0,540.0
Figure 21,base_case,MP11 Base Case,17.888198757763973,1063134.6578366447,233.0,540.0
Figure 21,base_case,MP11 Base Case,19.37888198757764,1063134.6578366447,237.0,540.0
Figure 21,base_case,MP11 Base Case,20.869565217391305,1063134.6578366447,241.0,540.0
Figure 21,base_case,MP11 Base Case,22.36024844720497,1063134.6578366447,245.0,540.0
Figure 21,base_case,MP11 Base Case,23.850931677018636,1063134.6578366447,249.0,540.0
Figure 21,base_case,MP11 Base Case,25.341614906832298,1063134.6578366447,253.0,540.0
Figure 21,base_case,MP11 Base Case,26.832298136645964,1063134.6578366447,257.0,540.0
Figure 21,base_case,MP11 Base Case,28.32298136645963,1063134.6578366447,261.0,540.0
Figure 21,base_case,MP11 Base Case,29.81366459627329,1063134.6578366447,265.0,540.0
Figure 21,base_case,MP11 Base Case,31.304347826086953,1063134.6578366447,269.0,540.0
Figure 21,base_case,MP11 Base Case,32.79503105590062,1063134.6578366447,273.0,540.0
Figure 21,base_case,MP11 Base Case,34.285714285714285,1063134.6578366447,277.0,540.0
Figure 21,base_case,MP11 Base Case,35.77639751552795,1063134.6578366447,281.0,540.0
Figure 21,base_case,MP11 Base Case,37.267080745341616,1063134.6578366447,285.0,540.0
Figure 21,base_case,MP11 Base Case,38.75776397515528,1063134.6578366447,289.0,540.0
Figure 21,base_case,MP11 Base Case,40.24844720496894,1063134.6578366447,293.0,540.0
Figure 21,base_case,MP11 Base Case,41.73913043478261,1063134.6578366447,297.0,540.0
Figure 21,base_case,MP11 Base Case,43.22981366459627,1063134.6578366447,301.0,540.0
Figure 21,base_case,MP11 Base Case,44.72049689440994,1063134.6578366447,305.0,540.0
Figure 21,base_case,MP11 Base Case,46.2111801242236,1063134.6578366447,309.0,540.0
Figure 21,base_case,MP11 Base Case,47.70186335403727,1063134.6578366447,313.0,540.0
Figure 21,base_case,MP11 Base Case,49.19254658385093,1063134.6578366447,317.0,540.0
Figure 21,base_case,MP11 Base Case,50.683229813664596,1063134.6578366447,321.0,540.0
Figure 21,base_case,MP11 Base Case,52.17391304347826,1063134.6578366447,325.0,540.0
Figure 21,base_case,MP11 Base Case,53.66459627329193,1063134.6578366447,329.0,540.0
Figure 21,base_case,MP11 Base Case,55.15527950310559,1063134.6578366447,333.0,540.0
Figure 21,base_case,MP11 Base Case,56.64596273291926,1063134.6578366447,337.0,540.0
Figure 21,base_case,MP11 Base Case,58.13664596273292,1063134.6578366447,341.0,540.0
Figure 21,base_case,MP11 Base Case,59.62732919254658,1063134.6578366447,345.0,540.0
Figure 21,base_case,MP11 Base Case,61.11801242236025,1063134.6578366447,349.0,540.0
Figure 21,base_case,MP11 Base Case,62.60869565217391,1063134.6578366447,353.0,540.0
Figure 21,base_case,MP11 Base Case,64.09937888198758,1063134.6578366447,357.0,540.0
Figure 21,base_case,MP11 Base Case,65.59006211180125,1063134.6578366447,361.0,540.0
Figure 21,base_case,MP11 Base Case,67.08074534161491,1063134.6578366447,365.0,540.0
Figure 21,base_case,MP11 Base Case,68.57142857142857,1063134.6578366447,369.0,540.0
Figure 21,base_case,MP11 Base Case,70.06211180124224,1063134.6578366447,373.0,540.0
