figure_id,caption,pdf_page,source_sha256,source_url,image_path,table_csv_path,overlay_path,panel_count,age_class_count,row_count,min_total_minus_thlb_ha,max_total_ha,min_panel_total_ha,max_panel_total_ha,max_abs_panel_total_deviation_percent,review_status,downstream_use,notes
Figure 6,"Base Case Age Class Distribution of Productive Forest Area (187,425 ha)",88,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-6-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/age_class_batch/figure-6-age-class.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/age_class_batch/figure-6-overlay.png,6,9,54,0.0,64682.92682926829,183314.6853146853,200982.93515358362,7.233792265484124,raw_extraction,not_yet_accepted,Stacked bar extraction from fixed panel and age-class slots; requires overlay review before planning or comparison use.
Figure 45,"AAC Recommendation Age Class Distribution of Productive Forest Area (187,425 ha)",158,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-45-proposal.png,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/age_class_batch/figure-45-age-class.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/age_class_batch/figure-45-overlay.png,6,9,54,249.08424908424786,64460.96654275093,192118.95910780667,206739.92673992674,10.305416427865408,raw_extraction,not_yet_accepted,Stacked bar extraction from fixed panel and age-class slots; requires overlay review before planning or comparison use.
