stratum_code,au_id,si_class,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
MHMM_HW_BA,mhmm_hw_ba_l,L,MHmm,HW_BA,27,135.845511,11.444445,12.0,10.0,12.0,12.0,15.45,False
MHMM_BA_HW,mhmm_ba_hw_l,L,MHmm,BA_HW,15,128.503571,10.933333,12.0,8.0,12.0,12.0,24.0,False
CWHVM_CW_SS,cwhvm_cw_ss_l,L,CWHvm,CW_SS,15,127.085954,16.0,17.0,6.0,19.0,19.0,23.0,False
CWHVM_FD,cwhvm_fd_h,H,CWHvm,FD,5,126.869298,32.4,32.0,25.0,42.0,20.0,21.0,False
CWHVM_FDC_HW,cwhvm_fdc_hw_l,L,CWHvm,FDC_HW,16,121.934601,25.4375,25.5,22.0,28.0,28.0,33.4,False
CWHVH_HW_DR,cwhvh_hw_dr_l,L,CWHvh,HW_DR,11,119.054185,11.181818,11.0,7.0,15.0,15.0,19.0,False
CWHVH_HW,cwhvh_hw_h,H,CWHvh,HW,18,114.740455,25.055555,24.0,20.0,31.0,15.0,19.0,False
CWHVM_CW_SS,cwhvm_cw_ss_m,M,CWHvm,CW_SS,18,110.703244,22.61111,23.0,20.0,23.0,19.0,23.0,False
MHMM_BA_YC,mhmm_ba_yc_l,L,MHmm,BA_YC,15,109.02341,11.733334,12.0,8.0,12.0,12.0,12.0,False
CWHVH_CW_YC,cwhvh_cw_yc_l,L,CWHvh,CW_YC,22,103.365402,9.318182,9.5,7.0,10.0,10.0,13.0,False
MHMM_HM_YC,mhmm_hm_yc_l,L,MHmm,HM_YC,14,101.963667,4.714286,5.0,4.0,5.0,5.0,6.0,False
CWHVH_SS_HW,cwhvh_ss_hw_m,M,CWHvh,SS_HW,18,100.881499,26.11111,27.0,23.0,28.0,22.7,28.0,False
CWHVM_FDC_CW,cwhvm_fdc_cw_l,L,CWHvm,FDC_CW,13,100.616351,33.615383,36.0,21.0,36.0,36.0,36.0,False
CWHVM_CW_PLC,cwhvm_cw_plc_l,L,CWHvm,CW_PLC,12,96.570206,18.916666,19.0,18.0,19.0,19.0,19.0,False
CWHVM_CW_FDC,cwhvm_cw_fdc_l,L,CWHvm,CW_FDC,11,92.47177,22.181818,23.0,19.0,23.0,23.0,24.0,False
CWHVM_SS_CW,cwhvm_ss_cw_l,L,CWHvm,SS_CW,13,90.710927,21.0,21.0,12.0,25.0,25.0,31.0,False
CWHVM_YC_BA,cwhvm_yc_ba_m,M,CWHvm,YC_BA,13,88.178004,19.692308,20.0,16.0,20.0,12.0,20.0,False
CWHVM_BA_YC,cwhvm_ba_yc_m,M,CWHvm,BA_YC,14,86.610227,23.214285,26.0,16.0,26.0,13.6,26.0,False
CWHVM_BA_HM,cwhvm_ba_hm_h,H,CWHvm,BA_HM,3,86.295152,25.0,26.0,21.0,28.0,15.2,17.0,False
MHMM_HW_YC,mhmm_hw_yc_l,L,MHmm,HW_YC,11,83.685244,10.090909,11.0,5.0,12.0,12.0,23.45,False
MHMM_BA_YC,mhmm_ba_yc_h,H,MHmm,BA_YC,7,81.186927,22.857143,25.0,16.0,27.0,12.0,12.0,False
CWHVH_CW_YC,cwhvh_cw_yc_h,H,CWHvh,CW_YC,14,78.405408,17.214285,16.0,14.0,23.0,10.0,13.0,False
CWHVH_HW,cwhvh_hw_l,L,CWHvh,HW,20,78.341033,12.6,12.5,11.0,15.0,15.0,19.0,False
CWHVM_SS_CW,cwhvm_ss_cw_h,H,CWHvm,SS_CW,9,77.994092,33.0,33.0,33.0,33.0,25.0,31.0,False
MHMM_YC_HM,mhmm_yc_hm_m,M,MHmm,YC_HM,7,77.168483,12.142858,12.0,11.0,13.0,9.8,13.0,False
CWHVH_SS_HW,cwhvh_ss_hw_l,L,CWHvh,SS_HW,15,75.688924,19.666666,20.0,16.0,22.0,22.7,28.0,False
CWHVH_SS_HW,cwhvh_ss_hw_h,H,CWHvh,SS_HW,10,75.650842,31.8,32.0,29.0,35.0,22.7,28.0,False
CWHVH_CW_YC,cwhvh_cw_yc_m,M,CWHvh,CW_YC,12,74.287773,12.0,12.0,11.0,13.0,10.0,13.0,False
MHMM_BA_HW,mhmm_ba_hw_m,M,MHmm,BA_HW,10,74.144956,17.9,14.0,13.0,24.0,12.0,24.0,False
CWHVH_CW,cwhvh_cw_l,L,CWHvh,CW,17,74.09288,9.647058,10.0,6.0,11.0,11.0,13.0,False
MHMM_YC_PL,mhmm_yc_pl_m,M,MHmm,YC_PL,2,67.08638,6.0,6.0,6.0,6.0,5.7,6.0,False
MHMM_HW_YC,mhmm_hw_yc_h,H,MHmm,HW_YC,9,66.565749,26.88889,28.0,24.0,28.0,12.0,23.45,False
CWHVH_YC_CW,cwhvh_yc_cw_h,H,CWHvh,YC_CW,6,63.939972,14.5,13.0,11.0,25.0,8.0,9.0,False
CWHVM_CW_DR,cwhvm_cw_dr_l,L,CWHvm,CW_DR,8,63.888025,14.25,14.5,8.0,17.0,19.1,24.0,False
CWHVM_FDC_HW,cwhvm_fdc_hw_m,M,CWHvm,FDC_HW,8,63.842637,31.25,31.5,30.0,33.0,28.0,33.4,False
CWHVH_CW,cwhvh_cw_m,M,CWHvh,CW,14,63.686173,12.357142,12.0,12.0,13.0,11.0,13.0,False
CWHVM_YC_BA,cwhvm_yc_ba_h,H,CWHvm,YC_BA,10,62.57615,25.0,24.0,21.0,29.0,12.0,20.0,False
MHMM_BA_HM,mhmm_ba_hm_l,L,MHmm,BA_HM,8,60.032059,12.0,12.0,12.0,12.0,12.0,12.0,False
CWHVH_YC_CW,cwhvh_yc_cw_m,M,CWHvh,YC_CW,11,59.772015,9.0,9.0,9.0,9.0,8.0,9.0,False
CWHVM_YC_PL,cwhvm_yc_pl_m,M,CWHvm,YC_PL,11,59.257962,7.727272,8.0,7.0,8.0,6.0,8.0,False
CWHVM_YC,cwhvm_yc_m,M,CWHvm,YC,8,57.860351,11.875,8.5,8.0,18.0,7.95,18.0,False
MHMM_YC_BA,mhmm_yc_ba_l,L,MHmm,YC_BA,9,56.577698,12.0,12.0,12.0,12.0,12.0,13.8,False
CWHVM_YC_BA,cwhvm_yc_ba_l,L,CWHvm,YC_BA,14,56.003419,10.571428,12.0,8.0,12.0,12.0,20.0,False
CWHVM_CW_BA,cwhvm_cw_ba_l,L,CWHvm,CW_BA,14,55.005903,21.0,23.0,14.0,23.0,23.0,23.0,False
CWHVH_YC_HW,cwhvh_yc_hw_m,M,CWHvh,YC_HW,3,54.850735,10.0,10.0,10.0,10.0,9.45,10.0,False
CWHVH_YC_CW,cwhvh_yc_cw_l,L,CWHvh,YC_CW,12,54.249333,7.333334,8.0,6.0,8.0,8.0,9.0,False
MHMM_YC_HM,mhmm_yc_hm_h,H,MHmm,YC_HM,4,52.061735,17.25,15.5,14.0,24.0,9.8,13.0,False
CWHVM_FDC_DR,cwhvm_fdc_dr_l,L,CWHvm,FDC_DR,2,51.279727,36.0,36.0,36.0,36.0,36.0,36.0,False
CWHVM_BA_YC,cwhvm_ba_yc_l,L,CWHvm,BA_YC,9,50.4192,8.888889,10.0,5.0,12.0,13.6,26.0,False
CWHVM_CW_SS,cwhvm_cw_ss_h,H,CWHvm,CW_SS,6,50.094683,25.166666,24.5,24.0,27.0,19.0,23.0,False
CWHVM_CW_DR,cwhvm_cw_dr_m,M,CWHvm,CW_DR,9,46.514966,22.777779,23.0,20.0,24.0,19.1,24.0,False
CWHVH_YC_HW,cwhvh_yc_hw_h,H,CWHvh,YC_HW,2,46.42655,17.0,17.0,16.0,18.0,9.45,10.0,False
CWHVH_HW_DR,cwhvh_hw_dr_h,H,CWHvh,HW_DR,9,44.504383,26.222221,26.0,20.0,33.0,15.0,19.0,False
MHMM_YC_HW,mhmm_yc_hw_h,H,MHmm,YC_HW,7,43.947364,12.428572,12.0,12.0,14.0,10.0,11.0,False
MHMM_BA_HW,mhmm_ba_hw_h,H,MHmm,BA_HW,9,43.925595,26.444445,26.0,26.0,28.0,12.0,24.0,False
CWHVM_DR_CW,cwhvm_dr_cw_l,L,CWHvm,DR_CW,6,43.305532,19.333334,20.0,14.0,22.0,22.95,27.0,False
MHMM_YC_BA,mhmm_yc_ba_h,H,MHmm,YC_BA,5,42.426178,19.8,20.0,16.0,22.0,12.0,13.8,False
CWHVM_BA_CW,cwhvm_ba_cw_h,H,CWHvm,BA_CW,3,42.391591,29.0,29.0,29.0,29.0,23.1,26.0,False
CWHVM_CW_DR,cwhvm_cw_dr_h,H,CWHvm,CW_DR,6,42.104303,28.333334,28.0,25.0,33.0,19.1,24.0,False
