stratum_code,au_id,si_class,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
CWHVH_SS,cwhvh_ss_l,L,CWHvh,SS,2,9.962806,23.0,23.0,18.0,28.0,28.05,28.95,False
CWHVM_FD,cwhvm_fd_m,M,CWHvm,FD,4,9.721459,21.0,21.0,21.0,21.0,20.0,21.0,False
MHMM_YC_CW,mhmm_yc_cw_h,H,MHmm,YC_CW,1,8.799992,12.0,12.0,12.0,12.0,8.1,9.9,False
CWHVH_DR_SS,cwhvh_dr_ss_h,H,CWHvh,DR_SS,1,8.797887,33.0,33.0,33.0,33.0,18.7,25.3,False
CWHVM_FDC_CW,cwhvm_fdc_cw_h,H,CWHvm,FDC_CW,1,8.702309,38.0,38.0,38.0,38.0,36.0,36.0,False
CWHVM_HW_HW,cwhvm_hw_hw_h,H,CWHvm,HW_HW,1,8.360071,24.0,24.0,24.0,24.0,21.2,23.3,False
CWHVH_SS,cwhvh_ss_h,H,CWHvh,SS,2,7.642581,30.5,30.5,29.0,32.0,28.05,28.95,False
CWHVM_HW_TW,cwhvm_hw_tw_l,L,CWHvm,HW_TW,1,7.629416,16.0,16.0,16.0,16.0,16.0,16.0,False
CWHVM_DR_BA,cwhvm_dr_ba_l,L,CWHvm,DR_BA,1,7.321343,50.0,50.0,50.0,50.0,50.0,50.0,False
CWHVH_DR_BA,cwhvh_dr_ba_l,L,CWHvh,DR_BA,1,7.224347,16.0,16.0,16.0,16.0,16.0,16.0,False
CWHVM_HW_PLC,cwhvm_hw_plc_l,L,CWHvm,HW_PLC,1,7.059915,22.0,22.0,22.0,22.0,22.0,22.0,False
CWHVM_HW_HM,cwhvm_hw_hm_l,L,CWHvm,HW_HM,3,6.418133,24.0,24.0,24.0,24.0,24.0,24.0,False
CWHVM_PL,cwhvm_pl_l,L,CWHvm,PL,1,6.30346,14.0,14.0,14.0,14.0,14.0,14.0,False
CWHVM_FDC_SS,cwhvm_fdc_ss_l,L,CWHvm,FDC_SS,1,6.260418,24.0,24.0,24.0,24.0,26.8,29.2,False
CMAUNP_HW_CW,cmaunp_hw_cw_l,L,CMAunp,HW_CW,1,6.153448,12.0,12.0,12.0,12.0,12.0,12.0,False
CWHVM_CW_FD,cwhvm_cw_fd_h,H,CWHvm,CW_FD,1,6.103261,25.0,25.0,25.0,25.0,23.7,24.3,False
CWHVM_PL_HW,cwhvm_pl_hw_h,H,CWHvm,PL_HW,1,5.904883,21.0,21.0,21.0,21.0,19.05,19.95,False
CWHVH_DR_CW,cwhvh_dr_cw_h,H,CWHvh,DR_CW,1,5.757372,28.0,28.0,28.0,28.0,26.05,26.95,False
MHMM_HW,mhmm_hw_l,L,MHmm,HW,1,5.715932,13.0,13.0,13.0,13.0,13.35,13.65,False
MHMM_HW_CW,mhmm_hw_cw_h,H,MHmm,HW_CW,2,5.695731,18.5,18.5,13.0,24.0,12.05,12.95,False
CWHVM_BA,cwhvm_ba_l,L,CWHvm,BA,3,5.073632,29.0,29.0,29.0,29.0,29.0,29.0,False
CWHVM_AC_DR,cwhvm_ac_dr_l,L,CWHvm,AC_DR,1,4.826472,34.0,34.0,34.0,34.0,34.0,34.0,False
CWHVM_HW_HW,cwhvm_hw_hw_m,M,CWHvm,HW_HW,1,4.822996,23.0,23.0,23.0,23.0,21.2,23.3,False
CWHVM_PLI_SX,cwhvm_pli_sx_h,H,CWHvm,PLI_SX,2,4.800179,19.0,19.0,19.0,19.0,17.25,18.25,False
CWHVH_FD_HW,cwhvh_fd_hw_h,H,CWHvh,FD_HW,1,4.755697,25.0,25.0,25.0,25.0,19.15,21.85,False
CWHVM_DR_AC,cwhvm_dr_ac_l,L,CWHvm,DR_AC,1,4.450945,21.0,21.0,21.0,21.0,21.0,21.0,False
CWHVM_PLI_SX,cwhvm_pli_sx_l,L,CWHvm,PLI_SX,2,4.364153,14.5,14.5,14.0,15.0,17.25,18.25,False
MHMM_HM,mhmm_hm_l,L,MHmm,HM,1,4.188486,6.0,6.0,6.0,6.0,6.0,6.0,False
CWHVM_PLI,cwhvm_pli_l,L,CWHvm,PLI,1,4.134814,14.0,14.0,14.0,14.0,14.0,14.0,False
CWHVH_BA_SS,cwhvh_ba_ss_l,L,CWHvh,BA_SS,1,4.062584,24.0,24.0,24.0,24.0,24.0,24.0,False
CWHVM_SX_BL,cwhvm_sx_bl_l,L,CWHvm,SX_BL,1,3.99875,18.0,18.0,18.0,18.0,18.0,18.0,False
CWHVH_BA_HW,cwhvh_ba_hw_l,L,CWHvh,BA_HW,2,3.983301,18.0,18.0,17.0,19.0,20.2,23.2,False
CWHVM_PL_CW,cwhvm_pl_cw_m,M,CWHvm,PL_CW,2,3.892393,13.5,13.5,13.0,14.0,10.45,18.25,False
CWHVH_BA_CW,cwhvh_ba_cw_h,H,CWHvh,BA_CW,1,3.882325,24.0,24.0,24.0,24.0,22.05,22.95,False
CWHVM_AC_SS,cwhvm_ac_ss_l,L,CWHvm,AC_SS,1,3.856337,34.0,34.0,34.0,34.0,34.0,34.0,False
CWHVH_CW_DR,cwhvh_cw_dr_m,M,CWHvh,CW_DR,1,3.811334,19.0,19.0,19.0,19.0,17.8,20.2,False
CWHVH_BA_HW,cwhvh_ba_hw_m,M,CWHvh,BA_HW,1,3.666577,22.0,22.0,22.0,22.0,20.2,23.2,False
CWHVM_BA_DR,cwhvm_ba_dr_l,L,CWHvm,BA_DR,1,3.602181,26.0,26.0,26.0,26.0,26.0,26.0,False
MHMM_YC_CW,mhmm_yc_cw_l,L,MHmm,YC_CW,1,3.538968,6.0,6.0,6.0,6.0,8.1,9.9,False
MHMM_HW,mhmm_hw_h,H,MHmm,HW,1,3.524191,14.0,14.0,14.0,14.0,13.35,13.65,False
CWHVM_HW_PL,cwhvm_hw_pl_l,L,CWHvm,HW_PL,1,3.168138,27.0,27.0,27.0,27.0,27.0,27.0,False
CWHVH_SS_DR,cwhvh_ss_dr_l,L,CWHvh,SS_DR,1,3.05724,27.0,27.0,27.0,27.0,28.05,28.95,False
CWHVM_YC_FDC,cwhvm_yc_fdc_h,H,CWHvm,YC_FDC,1,3.027126,36.0,36.0,36.0,36.0,32.0,32.0,False
CWHVM_AC_HW,cwhvm_ac_hw_l,L,CWHvm,AC_HW,1,2.948093,31.0,31.0,31.0,31.0,31.0,31.0,False
CWHVM_PL_SX,cwhvm_pl_sx_l,L,CWHvm,PL_SX,1,2.931151,21.0,21.0,21.0,21.0,21.0,21.0,False
CWHVM_HM_CW,cwhvm_hm_cw_h,H,CWHvm,HM_CW,2,2.822905,17.5,17.5,16.0,19.0,6.1,7.0,False
CWHVM_FDC_YC,cwhvm_fdc_yc_l,L,CWHvm,FDC_YC,1,2.766708,36.0,36.0,36.0,36.0,36.0,36.0,False
CMAUNP_YC_CW,cmaunp_yc_cw_l,L,CMAunp,YC_CW,1,2.749719,11.0,11.0,11.0,11.0,11.0,11.0,False
CWHVM_MB,cwhvm_mb_l,L,CWHvm,MB,1,2.643573,25.0,25.0,25.0,25.0,25.0,25.0,False
CWHVM_HW_HW,cwhvm_hw_hw_l,L,CWHvm,HW_HW,1,2.596771,17.0,17.0,17.0,17.0,21.2,23.3,False
CWHVM_HM_CW,cwhvm_hm_cw_m,M,CWHvm,HM_CW,2,2.062812,7.0,7.0,7.0,7.0,6.1,7.0,False
CWHVM_BA_YC,cwhvm_ba_yc_h,H,CWHvm,BA_YC,2,2.016195,29.0,29.0,27.0,31.0,13.6,26.0,False
CMAUNP_YC_HW,cmaunp_yc_hw_l,L,CMAunp,YC_HW,1,1.700675,12.0,12.0,12.0,12.0,12.0,12.0,False
CWHVH_BA_CW,cwhvh_ba_cw_l,L,CWHvh,BA_CW,1,1.659643,21.0,21.0,21.0,21.0,22.05,22.95,False
CWHVH_DR_CW,cwhvh_dr_cw_l,L,CWHvh,DR_CW,1,1.604858,25.0,25.0,25.0,25.0,26.05,26.95,False
CWHVH_HW_PL,cwhvh_hw_pl_l,L,CWHvh,HW_PL,1,1.551412,16.0,16.0,16.0,16.0,16.0,16.0,False
CWHVH_DR_SS,cwhvh_dr_ss_l,L,CWHvh,DR_SS,1,1.54659,11.0,11.0,11.0,11.0,18.7,25.3,False
CWHVH_FD_HW,cwhvh_fd_hw_l,L,CWHvh,FD_HW,1,1.528387,16.0,16.0,16.0,16.0,19.15,21.85,False
CWHVM_FD_CW,cwhvm_fd_cw_h,H,CWHvm,FD_CW,1,1.417967,31.0,31.0,31.0,31.0,27.75,29.25,False
MHMM_YC_PL,mhmm_yc_pl_l,L,MHmm,YC_PL,1,1.370537,5.0,5.0,5.0,5.0,5.7,6.0,False
CWHVM_SS_BA,cwhvm_ss_ba_h,H,CWHvm,SS_BA,1,1.359868,36.0,36.0,36.0,36.0,31.0,31.0,False
CWHVM_FD_CW,cwhvm_fd_cw_l,L,CWHvm,FD_CW,1,1.329859,26.0,26.0,26.0,26.0,27.75,29.25,False
MHMM_HM_CW,mhmm_hm_cw_l,L,MHmm,HM_CW,1,1.323501,22.0,22.0,22.0,22.0,22.0,22.0,False
MHMM_CW_HW,mhmm_cw_hw_h,H,MHmm,CW_HW,2,1.310679,15.0,15.0,15.0,15.0,13.0,14.0,False
CWHVM_SX,cwhvm_sx_l,L,CWHvm,SX,1,1.090537,14.0,14.0,14.0,14.0,14.0,14.0,False
CWHVH_YC_PL,cwhvh_yc_pl_l,L,CWHvh,YC_PL,1,1.042015,5.0,5.0,5.0,5.0,6.4,7.6,False
CWHVH_YC_PL,cwhvh_yc_pl_h,H,CWHvh,YC_PL,1,1.038779,9.0,9.0,9.0,9.0,6.4,7.6,False
CWHVH_YC,cwhvh_yc_l,L,CWHvh,YC,1,0.85277,8.0,8.0,8.0,8.0,8.35,8.65,False
CWHVH_CW_BA,cwhvh_cw_ba_h,H,CWHvh,CW_BA,2,0.852725,19.5,19.5,19.0,20.0,16.15,18.85,False
CWHVM_YC_DR,cwhvm_yc_dr_l,L,CWHvm,YC_DR,1,0.797639,16.0,16.0,16.0,16.0,16.0,16.0,False
CWHVH_YC,cwhvh_yc_h,H,CWHvh,YC,1,0.639299,9.0,9.0,9.0,9.0,8.35,8.65,False
CWHVM_PL_HW,cwhvm_pl_hw_l,L,CWHvm,PL_HW,1,0.370918,18.0,18.0,18.0,18.0,19.05,19.95,False
MHMM_CW_YC,mhmm_cw_yc_l,L,MHmm,CW_YC,1,0.213975,13.0,13.0,13.0,13.0,13.0,13.0,False
CWHVM_FD_BA,cwhvm_fd_ba_l,L,CWHvm,FD_BA,1,0.1233,31.0,31.0,31.0,31.0,31.0,31.0,False
CWHVM_PLI_AT,cwhvm_pli_at_l,L,CWHvm,PLI_AT,1,0.039348,21.0,21.0,21.0,21.0,21.0,21.0,False
CWHVM_BA,cwhvm_ba_h,H,CWHvm,BA,1,0.001884,30.0,30.0,30.0,30.0,29.0,29.0,False
