harvest_system,mp11_label,candidate_rows,candidate_area_ha,candidate_volume_m3,candidate_area_share_pct,candidate_volume_share_pct,mp11_table73_area_ha,mp11_table73_volume_m3,mp11_area_share_pct,mp11_volume_share_pct,direct_area_residual_ha,direct_volume_residual_m3,scaled_area_target_ha,scaled_volume_target_m3,scaled_area_residual_ha,scaled_volume_residual_m3,area_share_residual_pct_points,volume_share_residual_pct_points,qa_caveat
ground,ground,12905,80241.38859046067,22778489.535020187,57.31699778433943,50.5704108921049,68845.0,19216294.0,57.3,53.4,11396.388590460672,3562195.5350201875,80217.5924065871,24053024.6781123,23.79618387357914,-1274535.1430921108,0.016997784339430666,-2.829589107895096,Candidate totals use the current public-proxy THLB scaffold and public VRI volume proxies; direct residuals are not WFP LBB stand-level errors.
cable,cable,9055,56677.06059814284,20342940.21761593,40.48482975920014,45.163260012334774,47524.0,14563331.0,39.6,40.5,9153.060598142838,5779609.2176159285,55438.33611345287,18242462.53677056,1238.7244846899703,2100477.6808453687,0.8848297592001373,4.663260012334774,Candidate totals use the current public-proxy THLB scaffold and public VRI volume proxies; direct residuals are not WFP LBB stand-level errors.
heli,non_conventional_heli,654,3077.3490776915746,1921687.6221060115,2.198172456460407,4.266329095560325,3730.0,2223221.0,3.1,6.2,-652.6509223084254,-301533.3778939885,4339.869746255149,2792673.277234012,-1262.5206685635744,-870985.6551280003,-0.9018275435395933,-1.9336709044396754,Candidate totals use the current public-proxy THLB scaffold and public VRI volume proxies; direct residuals are not WFP LBB stand-level errors.
managed_current_thlb_total,table73_total,22614,139995.7982662951,45043117.37474213,100.0,100.0,120099.0,36002846.0,100.0,100.0,19896.79826629511,9040271.374742128,139995.7982662951,45043117.37474213,0.0,0.0,0.0,0.0,Total row shows the candidate scaffold total before later model-input promotion; Phase 14 does not change THLB truth by itself.
